temperature,rain,percipitation,hour,num_tickets_bought,NLMidden_Bevrijdingsdag,NLMidden_Dag van de Duitse Eenheid,NLMidden_Dierendag,NLMidden_Eerste Kerstdag,NLMidden_Eerste Paasdag,NLMidden_Eerste Pinksterdag,NLMidden_Goede vrijdag,NLMidden_Halloween,NLMidden_Hemelvaartsdag ,NLMidden_Herfstvakantie,NLMidden_Kerstvakantie,NLMidden_Koningsdag,NLMidden_Meivakantie,NLMidden_Moederdag,NLMidden_Nieuwjaarsdag,NLMidden_None,NLMidden_Oudjaarsdag,NLMidden_Sint Maarten,NLMidden_Sinterklaas,NLMidden_Tweede Kerstdag,NLMidden_Tweede Paasdag,NLMidden_Tweede Pinksterdag,NLMidden_Vaderdag,NLMidden_Valentijnsdag,NLMidden_Voorjaarsvakantie,NLMidden_Zomervakantie,NLNoord_Bevrijdingsdag,NLNoord_Dag van de Duitse Eenheid,NLNoord_Dierendag,NLNoord_Eerste Kerstdag,NLNoord_Eerste Paasdag,NLNoord_Eerste Pinksterdag,NLNoord_Goede vrijdag,NLNoord_Halloween,NLNoord_Hemelvaartsdag ,NLNoord_Herfstvakantie,NLNoord_Kerstvakantie,NLNoord_Koningsdag,NLNoord_Meivakantie,NLNoord_Moederdag,NLNoord_Nieuwjaarsdag,NLNoord_None,NLNoord_Oudjaarsdag,NLNoord_Sint Maarten,NLNoord_Sinterklaas,NLNoord_Tweede Kerstdag,NLNoord_Tweede Paasdag,NLNoord_Tweede Pinksterdag,NLNoord_Vaderdag,NLNoord_Vak,NLNoord_Valentijnsdag,NLNoord_Voorjaarsvakantie,NLNoord_Zomervakantie,NLZuid_Bevrijdingsdag,NLZuid_Dag van de Duitse Eenheid,NLZuid_Dierendag,NLZuid_Eerste Kerstdag,NLZuid_Eerste Paasdag,NLZuid_Eerste Pinksterdag,NLZuid_Goede vrijdag,NLZuid_Halloween,NLZuid_Hemelvaartsdag ,NLZuid_Herfstvakantie,NLZuid_Kerstvakantie,NLZuid_Koningsdag,NLZuid_Meivakantie,NLZuid_Moederdag,NLZuid_Nieuwjaarsdag,NLZuid_None,NLZuid_Oudjaarsdag,NLZuid_Sint Maarten,NLZuid_Sinterklaas,NLZuid_Tweede Kerstdag,NLZuid_Tweede Paasdag,NLZuid_Tweede Pinksterdag,NLZuid_Vaderdag,NLZuid_Valentijnsdag,NLZuid_Voorjaarsvakantie,NLZuid_Zomervakantie,Niedersachsen_Dag van de Duitse Eenheid,Niedersachsen_Dag van de arbeid,Niedersachsen_Eerste Kerstdag,Niedersachsen_Eerste Paasdag,Niedersachsen_Goede vrijdag,Niedersachsen_Hemelvaartsdag ,Niedersachsen_Herfstvakantie,Niedersachsen_Hervormingsdag,Niedersachsen_Kerstvakantie,Niedersachsen_Nieuwjaarsdag,Niedersachsen_None,Niedersachsen_Oudjaarsdag,Niedersachsen_Paasvakantie,Niedersachsen_Pinkstermaandag,Niedersachsen_Pinkstervakantie,Niedersachsen_Tweede Kerstdag,Niedersachsen_Tweede Paasdag,Niedersachsen_Valentijnsdag,Niedersachsen_Wintervakantie,Niedersachsen_Zomervakantie,Nordrhein-Westfalen_Allerheiligen,Nordrhein-Westfalen_Dag van de Duitse Eenheid,Nordrhein-Westfalen_Dag van de arbeid,Nordrhein-Westfalen_Eerste Kerstdag,Nordrhein-Westfalen_Eerste Paasdag,Nordrhein-Westfalen_Goede vrijdag,Nordrhein-Westfalen_Hemelvaartsdag ,Nordrhein-Westfalen_Herfstvakantie,Nordrhein-Westfalen_Kerstvakantie,Nordrhein-Westfalen_Nieuwjaarsdag,Nordrhein-Westfalen_None,Nordrhein-Westfalen_Oudjaarsdag,Nordrhein-Westfalen_Paasvakantie,Nordrhein-Westfalen_Pinkstermaandag,Nordrhein-Westfalen_Pinkstervakantie,Nordrhein-Westfalen_Sacramentsdag,Nordrhein-Westfalen_Tweede Kerstdag,Nordrhein-Westfalen_Tweede Paasdag,Nordrhein-Westfalen_Valentijnsdag,Nordrhein-Westfalen_Zomervakantie,year,month,day,weekday
1.8,0.0,0.0,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
1.4,0.0,0.0,11,1052,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
3.1,0.0,0.0,12,531,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
4.3,0.0,0.0,13,538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
5.0,0.0,0.0,14,487,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
5.6,0.0,0.0,15,813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
5.5,0.0,0.0,16,2912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
4.1,0.0,0.0,17,1871,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
3.0,0.0,0.0,18,1308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
2.4,0.0,0.0,19,578,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,1,2,3
